title,composer,difficulty,audio_file,hint
2:23,しゃろう,normal,audio/0001.mp3,時間
10℃,しゃろう,normal,audio/0002.mp3,３文字
You and Me,しゃろう,normal,audio/0003.mp3,英語
Cassette Tape Dream,しゃろう,normal,audio/0004.mp3,英語
極東の羊、テレキャスターと踊る,しゃろう,normal,audio/0005.mp3,長いタイトル
サンタは中央線でやってくる,しゃろう,normal,audio/0006.mp3,乗り物
野良猫は宇宙を目指した,しゃろう,normal,audio/0007.mp3,動物
Morning,しゃろう,normal,audio/0008.mp3,(未設定)
パステルハウス,かずち,normal,audio/0009.mp3,(未設定)
SUMMER TRIANGLE,しゃろう,normal,audio/0010.mp3,(未設定)
昼下がり気分,KK,normal,audio/0011.mp3,(未設定)
なんでしょう？,KK,normal,audio/0012.mp3,(未設定)
ほんわかぷっぷー,もっぴーさうんど,normal,audio/0013.mp3,(未設定)
情動カタルシス,まんぼう二等兵,normal,audio/0014.mp3,(未設定)
Stream,Kyaai,normal,audio/0015.mp3,(未設定)
Trick style,まんぼう二等兵,normal,audio/0016.mp3,(未設定)
おどれグロッケンシュピール,しゃろう,normal,audio/0017.mp3,(未設定)
追いかけっこキャッハー,今川彰人オーケストラ,normal,audio/0018.mp3,(未設定)
かえるのピアノ,こおろぎ,normal,audio/0019.mp3,(未設定)
Escort,もっぴーさうんど,normal,audio/0020.mp3,(未設定)
ワスレナグサ,まんぼう二等兵,normal,audio/0021.mp3,(未設定)
夏はsummer!!,Keyta,normal,audio/0022.mp3,(未設定)
神隠しの真相,しゃろう,normal,audio/0023.mp3,(未設定)
ぐだぐだな感じ,yuki,normal,audio/0024.mp3,(未設定)
Will you still cry?,まんぼう二等兵,normal,audio/0025.mp3,(未設定)
わくわくクッキングタイム的なBGM,鷹尾まさき(タカオマサキ),normal,audio/0026.mp3,(未設定)
日曜の午後,KK,normal,audio/0027.mp3,(未設定)
しゅわしゅわハニーレモン350ml,しゃろう,normal,audio/0028.mp3,(未設定)
自宅にて,KK,normal,audio/0029.mp3,(未設定)
少年達の夏休み的なBGM,鷹尾まさき(タカオマサキ),normal,audio/0030.mp3,(未設定)
8-bit Aggressive1,もっぴーさうんど,normal,audio/0031.mp3,(未設定)